applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
A00001,76753.71563849953,854.8273395356146,3126.5631435521946,10995.521089363885,64,ON,Full-time,597
A00002,55874.74954079217,642.4988500258357,1782.3309891158347,11147.927479370821,79,ON,Full-time,324
A00003,82771.92965364884,1325.333337737395,8591.821994111084,16747.36279041602,59,ON,Unemployed,245
A00004,128221.55283858265,1680.3004147616616,4035.227665072294,12121.554552361305,36,ON,Full-time,314
A00005,53259.06546938102,663.486330890581,3985.437143653825,1041.346120338446,34,ON,Full-time,161
A00006,53259.50266882978,1016.5797897755415,1698.8667480662,22221.388727522633,69,ON,Full-time,368
A00007,131874.55486212557,2529.731442659656,3830.656760857787,22799.79420287602,55,ON,Full-time,184
A00008,87879.10697482404,1939.9562877821409,8716.168463288503,22662.263535916343,32,ON,Full-time,275
A00009,47347.19262683412,724.1820715960899,3631.287104896359,11005.599331703532,86,BC,Unemployed,528
A00010,78533.45739265763,750.1058929744916,9516.035624997881,16146.394726023986,48,ON,Full-time,435
A00011,47490.793661914875,612.367177491076,9463.088992083874,11439.232027123415,78,ON,Full-time,259
A00012,47435.92458299541,1170.0904589104232,1448.9865930734602,1465.0556008887274,71,ON,Full-time,244
A00013,67574.17320049589,1234.6461139217245,1773.1125352264487,17311.019296871145,54,BC,Part-time,337
A00014,23002.538943600946,463.78374007756247,8626.740703318892,4589.05931643632,48,BC,Full-time,49
A00015,25274.2427686738,213.7180826090028,3927.6091892471923,3321.1983986517776,82,ON,Part-time,271
A00016,45200.17490441385,767.0512863887784,43.73982283009337,22909.47299220683,32,BC,Unemployed,234
A00017,36083.26414852113,323.2631422853334,2738.71819705371,1275.6798701250632,41,BC,Full-time,583
A00018,70061.1468597906,1248.5249152710664,5976.2899319556,28811.244864653057,66,BC,Unemployed,555
A00019,38024.57583774577,900.4034820007571,7992.65965959968,15942.40555926473,46,ON,Full-time,305
A00020,29550.26968924983,723.2030220523465,1333.8861709325956,29507.476490478304,25,ON,Full-time,476
A00021,124595.07828821737,2160.7957008849503,1105.4136441673534,2681.9296017085444,60,ON,Part-time,487
