applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
A00001,76753.71563849953,668.0221349702258,3126.5631435521946,10995.521089363885,64,ON,Full-time,597
A00002,55874.74954079217,503.9836296676143,1782.3309891158347,11147.927479370821,79,ON,Full-time,324
A00003,82771.92965364884,1073.445910464336,8591.821994111084,16747.36279041602,59,ON,Unemployed,245
A00004,128221.55283858265,1336.6987453762638,4035.227665072294,12121.554552361305,36,ON,Full-time,314
A00005,53259.06546938102,525.0723463319865,3985.437143653825,1041.346120338446,34,ON,Full-time,161
A00006,53259.50266882978,834.0286674402345,1698.8667480662,22221.388727522633,69,ON,Full-time,368
A00007,131874.55486212557,2076.145684345818,3830.656760857787,22799.79420287602,55,ON,Full-time,184
A00008,87879.10697482404,1605.9210153772647,8716.168463288503,22662.263535916343,32,ON,Full-time,275
A00009,47347.19262683412,584.3393203269598,3631.287104896359,11005.599331703532,86,BC,Unemployed,528
A00010,78533.45739265763,574.5369715686617,9516.035624997881,16146.394726023986,48,ON,Full-time,435
A00011,47490.793661914875,486.35170357353013,9463.088992083874,11439.232027123415,78,ON,Full-time,259
A00012,47435.92458299541,974.416730106,1448.9865930734602,1465.0556008887274,71,ON,Full-time,244
A00013,67574.17320049589,1009.9255859309923,1773.1125352264487,17311.019296871145,54,BC,Part-time,337
A00014,23002.538943600946,381.84979450161615,8626.740703318892,4589.05931643632,48,BC,Full-time,49
A00015,25274.2427686738,160.6759860655089,3927.6091892471923,3321.1983986517776,82,ON,Part-time,271
A00016,45200.17490441385,624.08636006475,43.73982283009337,22909.47299220683,32,BC,Unemployed,234
A00017,36083.26414852113,245.26851601162386,2738.71819705371,1275.6798701250632,41,BC,Full-time,583
A00018,70061.1468597906,1019.4789395499013,5976.2899319556,28811.244864653057,66,BC,Unemployed,555
A00019,38024.57583774577,748.244113586344,7992.65965959968,15942.40555926473,46,ON,Full-time,305
A00020,29550.26968924983,602.0211133695012,1333.8861709325956,29507.476490478304,25,ON,Full-time,476
A00021,124595.07828821737,1760.9096983907718,1105.4136441673534,2681.9296017085444,60,ON,Part-time,487
A00022,53482.61087929391,691.6453286545211,9220.926535723316,17922.356917111483,28,ON,Part-time,79
A00023,61930.25443446889,1240.5558478031844,7511.483678225826,11130.484043301425,86,ON,Part-time,285
A00024,29366.971601059646,472.029334267228,5897.796007780785,25460.992291614286,62,ON,Full-time,560
A00025,45606.64176956222,328.20581804117313,7691.86789995928,11475.459321794302,31,BC,Unemployed,97
A00026,63288.650487134284,825.3999054517118,4288.543613066385,8554.139792663123,51,ON,Part-time,477
A00027,33674.73767311809,328.4490184120129,7584.557473091266,25869.040685897486,50,ON,Full-time,405
A00028,72247.21143488212,946.5333319119081,3718.0299127453577,11864.93965794457,66,BC,Unemployed,536
A00029,44341.69257303298,571.6622464992622,2440.9457249260236,1488.1662759562826,23,ON,Unemployed,567
A00030,51748.62419153363,762.754626991672,7290.134212929686,12318.38392434068,79,ON,Full-time,254
A00031,44318.0221517441,507.5700081582069,4196.722921572683,19981.145801317314,21,ON,Part-time,486
A00032,151166.7924956226,1306.9292418944506,9813.771043261948,8376.426625385073,42,BC,Part-time,193
A00033,59471.434726916836,808.5681802187975,3494.85182308101,13527.640180329561,52,BC,Part-time,515
