applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate
A00001,76753.71563849953,667.1781674318714,2190.688091018578,19801.22221611077,34.0,ON,Full-time,71.0,726.0,28.021803653889567,10.0,10.0,On Time,95614.4617385531,898.5791800004683,669.8224183275179,25.54694175375812,1.0,15000.0,3.1881331631200824
A00002,55874.74954079217,434.4232538402492,367.2136250082114,3149.057254671145,65.0,BC,Full-time,417.0,682.0,12.509087493684204,18.0,8.0,On Time,39234.057731277484,8294.25404186332,122.69556522320181,12.979487504114184,1.0,3149.057254671145,6.307359104369507
A00003,82771.92965364884,1285.5535580702228,1080.2575413069137,11888.598925528511,77.0,ON,Unemployed,282.0,714.0,22.740026970522976,17.0,0.0,On Time,102977.65174084365,596.7165568249666,585.4286444869767,29.7102343030823,1.0,11888.598925528511,6.195261891857088
A00004,128221.55283858265,2122.42200284617,3388.606493387516,24310.621810609955,49.0,ON,Part-time,73.0,719.0,46.27276844048065,20.0,1.0,On Time,96634.9234737868,1693.9912563260727,1117.8913592915262,33.73822209595409,1.0,15000.0,5.898873450856709
A00005,53259.06546938102,357.4019506135471,8025.856795798129,13570.694749913398,22.0,ON,Full-time,354.0,715.0,64.74260061968782,8.0,10.0,On Time,36706.34388522753,7958.326589504415,594.1160405925515,26.025505380724972,1.0,13570.694749913398,4.838260703271106
A00006,53259.50266882978,1060.0289549965369,5720.486433693009,29918.28826318556,55.0,ON,Part-time,496.0,,47.74972294683501,7.0,1.0,On Time,101138.12194212177,11.45950628256287,1207.3293255248823,61.19770110565806,0.0,0.0,0.0
A00007,131874.55486212557,924.1656122217396,5126.677259564164,17212.71926345146,35.0,ON,Full-time,327.0,720.0,74.30901056383215,18.0,9.0,On Time,185603.54797759856,2824.043288458643,3448.004001838024,42.13422740590916,1.0,15000.0,5.356777630133088
A00008,87879.10697482404,1242.9537308531105,2934.8882320812163,10313.70242644265,57.0,ON,Full-time,534.0,756.0,3.820243986720573,4.0,2.0,On Time,130872.64953755692,5840.386578266218,124.99136310551019,20.791981385857397,1.0,10313.70242644265,5.728151718806504
A00009,47347.19262683412,785.5119851462116,9317.537194328164,7383.228451237841,66.0,ON,Full-time,579.0,650.0,50.73944490841975,16.0,9.0,Late 30-60,52209.29977169175,5954.4993146929655,662.2677223682314,39.500415069586495,1.0,7383.228451237841,6.416884997826905
A00010,78533.45739265763,1488.3372670170995,,11165.095494298692,64.0,ON,Part-time,446.0,666.0,50.291372424214806,4.0,2.0,On Time,146344.8469152327,7771.529082294735,1839.9707996446677,53.415977573956866,0.0,0.0,0.0
A00011,47490.793661914875,791.3755563327942,870.9276679577149,11803.464939026973,66.0,ON,Part-time,372.0,701.0,23.418459402725432,13.0,9.0,On Time,69189.13470786579,5059.262544921704,405.07573556646406,34.70575646545508,1.0,11803.464939026973,6.213307133607277
A00012,47435.92458299541,851.089091543673,6170.665161178013,2992.6966539948685,57.0,ON,Full-time,361.0,657.0,15.219302806654861,6.0,1.0,On Time,78447.38817484767,5094.018695309704,298.47863875605066,30.216546398789834,0.0,0.0,0.0
A00013,67574.17320049589,756.852046517276,1138.3839347660141,11717.651783376421,22.0,ON,Full-time,92.0,627.0,32.67844122169227,8.0,7.0,On Time,71145.04277616965,,581.2272746439605,26.883242982556066,0.0,0.0,0.0
A00014,23002.538943600946,417.1019618938549,3452.2314280169207,14462.917072437524,48.0,BC,Full-time,320.0,743.0,49.98152044075633,16.0,7.0,On Time,44625.335484092764,4986.244632662835,557.6105294184479,62.1665069401587,0.0,0.0,0.0
A00015,25274.2427686738,187.4929642590217,5074.119387178089,,48.0,BC,Part-time,323.0,610.0,34.28143291844731,2.0,7.0,Late<30,43741.92812897776,6084.910865636169,374.8839937192736,42.34039634884626,0.0,0.0,0.0
A00016,45200.17490441385,872.3366880051491,8742.225246851758,20045.155056926633,40.0,ON,Full-time,383.0,683.0,43.511189008412074,7.0,1.0,On Time,80498.01728362606,8977.74068255051,875.641111207569,54.38886365547839,0.0,0.0,0.0
A00017,36083.26414852113,513.6713227643013,4935.465803401186,21554.204001645474,93.0,BC,Full-time,574.0,730.0,67.95713420054,12.0,8.0,On Time,27361.628928837436,4014.5100761237195,464.85447226559575,43.29449297146034,1.0,7938.3181126746495,6.556305962921564
A00018,70061.1468597906,1272.9357795958817,7022.5876603166425,1242.5467744288558,84.0,ON,Full-time,345.0,973.0,54.00319900611559,15.0,10.0,Late 30-60,63506.56308029353,3851.250709192222,857.389391054881,36.80722001141878,1.0,1242.5467744288558,7.503737530813542
A00019,38024.57583774577,488.47542479269475,9928.168389990704,7312.354587835545,30.0,ON,Full-time,102.0,684.0,58.59014611914799,20.0,6.0,Late 30-60,35303.53337029132,35.48991864771311,517.1097946718963,35.19630703178121,1.0,7312.354587835545,6.925763113212856
