applicant_id,credit_score,limit_factor,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history
A00001,702,0.7339026724189147,35.64675103968641,4,9,Late<30
A00002,700,1.6303240206316243,65.557813958656,2,2,On Time
A00003,647,1.3993608565096494,27.14403894458487,16,7,On Time
A00004,731,0.6286901682694185,25.930731789408885,18,1,On Time
A00005,717,1.0670951876553703,48.21351105247049,3,7,On Time
A00006,700,1.855341413852754,33.172816462045844,9,9,Late<30
A00007,609,1.1785619024843395,30.47960196414848,4,5,On Time
A00008,720,0.9873912489508658,37.108042113802256,18,3,On Time
A00009,715,1.4656761131728921,38.82477048961034,8,3,Late<30
A00010,696,0.8044585665260875,17.592080883473074,20,6,On Time
A00011,738,1.2857050973107693,70.10985318356737,15,6,On Time
A00012,745,1.5042841303454684,46.66735028012542,11,8,On Time
A00013,713,1.7823176239626166,56.127420060072645,16,3,On Time
A00014,639,1.538756454166805,22.113387430974992,7,10,On Time
A00015,649,1.0766146957528466,54.5483257983117,12,8,On Time
A00016,672,1.6517002600224664,25.591981850119573,20,3,On Time
A00017,690,1.8475998921062626,37.093419944277514,14,1,On Time
A00018,733,1.2166454369899093,18.285530127477433,8,6,On Time
A00019,713,0.5067511782249235,36.36995937491068,0,8,Late<30
A00020,693,1.8213770389277661,59.75629069134071,14,10,On Time
A00021,725,0.7481629874131264,9.864817249422448,2,9,On Time
A00022,668,0.68948825747056,34.93314867264247,14,1,Late<30
A00023,725,0.9615178486100473,31.880782475685727,10,10,On Time
A00024,709,1.0699756180861417,16.7127880917148,8,5,On Time
A00025,720,1.699065047279978,15.294584931680404,18,5,On Time
A00026,733,1.083775077669693,11.326803548804055,17,10,On Time
A00027,698,0.573231749531275,34.027480199324344,20,9,On Time
A00028,620,1.4539425199859177,25.785625465048046,17,2,Late>60
A00029,673,1.5068315351450126,38.15743188409456,20,7,On Time
A00030,731,1.7213313812481554,38.48901383502939,2,4,On Time
A00031,677,1.0982991209916975,10.686551956685882,12,3,On Time
A00032,673,0.6291066143115156,9.173385726297873,5,3,On Time
A00033,702,1.329593416541829,45.30050398130677,5,4,Late 30-60
A00034,743,0.6814960738662599,46.75112667851291,10,10,On Time
A00035,718,0.5256129845364649,59.60124541969887,8,9,On Time
A00036,769,1.6678752077770183,69.58756729961276,16,10,On Time
A00037,716,1.1051159005075761,34.14977255533099,16,3,On Time
A00038,714,1.287507758093654,18.271703084524283,8,10,Late<30
A00039,690,1.494273804152801,58.55770961626365,18,5,On Time
A00040,637,1.1015415000668576,56.613880891625165,2,7,On Time
A00041,705,0.5766973887160936,40.62708676842287,13,1,Late<30
A00042,701,0.8791154865619408,12.381741005869026,14,6,On Time
A00043,726,0.7915117870069182,20.544276206903373,18,10,On Time
A00044,712,1.9660910312363984,34.90937167572128,0,5,On Time
A00045,710,1.6092581810381898,17.431461165564432,3,3,On Time
A00046,745,1.1773249973947888,17.205794103281306,14,1,On Time
A00047,689,0.5950510946862715,38.895720773675265,14,0,On Time
A00048,733,0.6737757837174059,38.24220770671089,2,10,On Time
A00049,751,1.719349353907122,46.33963282816354,4,7,On Time
A00050,677,1.918173640755501,72.59118747699434,0,7,On Time
A00051,683,0.5470252767129926,43.50250480824297,15,8,On Time
A00052,669,1.8655956840324137,21.508715349454576,15,4,On Time
A00053,645,1.0708455700789878,25.856715317202312,15,8,On Time
A00054,773,0.8204489909805108,50.299510733058824,14,3,On Time
A00055,827,0.6533485361197855,35.64691869608435,4,10,On Time
A00056,708,1.6576234129297922,36.986534076170244,1,9,On Time
A00057,686,1.2033657277727206,24.02986110619843,7,3,On Time
A00058,769,1.7486356729028851,45.73441488812085,14,4,On Time
A00059,724,0.8392357301374431,40.16938050726013,8,2,On Time
A00060,669,1.517852055248637,15.36126172523675,8,4,On Time
A00061,664,0.6771825572991921,12.990338409215227,2,4,On Time
A00062,732,0.6346260262021546,47.1463465206334,14,10,On Time
A00063,715,0.7000997755426273,35.0069400804553,17,9,On Time
A00064,744,1.7133519508404609,22.688296043489807,16,3,On Time
A00065,728,1.48342960314896,48.47471453334719,0,10,On Time
A00066,651,0.7489458379004874,14.811044885281957,10,4,On Time
A00067,669,1.077158316027778,8.88065846711255,0,4,Late<30
A00068,664,1.645529014634685,6.268476976988197,5,8,On Time
A00069,708,0.9285115841208309,30.740581455412624,11,0,On Time
