applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate,monthly_income
,76753.71563849953,854.8273395356146,3126.5631435521946,17888.98390961484,64.0,ON,Full-time,597.0,685.0,35.64675103968642,4.0,9.0,Late<30,56329.75702517625,4323.280055984888,501.9932062006213,25.408364260066385,1,0.0,0.0,6396.142969874961
A00002,55874.74954079217,642.4988500258357,1782.3309891158349,18146.498154798974,79.0,ON,Full-time,324.0,682.0,65.557813958656,2.0,2.0,On Time,91093.94632312928,118.0138813793752,1492.9799964528763,51.7087164829531,0,0.0,0.0,4656.229128399347
A00003,82771.92965364884,1325.333337737395,8591.821994111084,27607.61299070293,59.0,ON,Unemployed,245.0,548.0,27.14403894458484,16.0,7.0,On Time,115827.79837508648,1327.0935942746432,786.0085674897169,36.613225435074675,0,0.0,0.0,6897.660804470736
A00004,128221.55283858263,1680.3004147616616,4035.227665072294,19791.59217467945,36.0,ON,Full-time,0.0,758.0,25.930731789408885,18.0,1.0,On Time,80611.62962985465,3281.801142870894,522.5796367597318,23.39469967850267,1,19791.59217467945,5.194235653858218,10685.12940321522
A00005,53259.06546938102,663.486330890581,3985.437143653825,1069.8606860890986,34.0,ON,Full-time,161.0,724.0,48.21351105247049,3.0,7.0,On Time,56832.49246139879,9368.4431800417,685.0235008567741,30.74536280378073,1,1069.8606860890986,9.434654790096438,4438.255455781752
A00006,53259.50266882978,1016.5797897755416,1698.8667480662,30000.0,69.0,ON,Full-time,280.6,681.0,33.172816462045844,9.0,9.0,Late<30,98814.56098268116,8832.890326873796,819.4893238140296,51.507858670129814,0,0.0,0.0,4438.291889069148
A00007,78839.78978652241,1067.6221533591577,3830.656760857787,30000.0,55.0,ON,Full-time,184.0,453.0,30.47960196414848,4.0,5.0,On Time,155422.3262675821,5238.422662278664,1184.3026602444804,41.12529707529276,0,0.0,0.0,6569.982482210201
A00008,60278.62382840229,816.2730310096144,8716.168463288503,30000.0,32.0,ON,Full-time,287.0,730.0,37.108042113802256,18.0,3.0,On Time,86771.06119255825,6044.093733093136,804.9760482481911,41.23350430469252,1,0.0,0.0,5023.218652366858
A00009,47347.19262683412,724.1820715960899,3631.287104896359,17906.012663912865,86.0,BC,Unemployed,528.0,717.0,38.82477048961036,8.0,3.0,Late<30,69395.64925894645,2882.80741648125,673.5675388640238,42.23286850948975,1,0.0,0.0,3945.59938556951
A00010,78533.45739265763,750.1058929744916,2008.9975314095834,26592.184192247423,48.0,ON,Full-time,435.0,670.0,17.592080883473074,20.0,6.0,On Time,63176.91255843493,6698.574831975295,277.85333892402326,21.802305037683876,1,15000.0,8.132443045706633,6544.454782721469
A00011,47490.79366191488,612.367177491076,9463.088992083874,18638.702390656803,78.0,ON,Full-time,259.0,776.0,70.10985318356738,15.0,6.0,On Time,61059.15548645793,2371.251053486208,1070.2121066670447,49.579962819400635,1,0.0,0.0,3957.5661384929067
A00012,47435.92458299541,642.3614787280628,1448.9865930734602,1785.7836015016428,71.0,ON,Full-time,244.0,792.0,39.532665185456906,11.0,8.0,On Time,71357.10855846448,25.098097271585296,705.2341703110194,34.768140352958284,1,0.0,0.0,3952.9937152496173
A00013,57557.03189381291,779.4181402287165,1773.1125352264487,28559.99812229952,54.0,BC,Part-time,337.0,713.0,56.127420060072645,16.0,3.0,On Time,120438.63981994615,9632.358462465128,1689.9775321594775,60.41581121630113,0,0.0,0.0,4796.419324484409
A00014,23002.538943600943,463.78374007756247,8626.740703318892,7064.272638116541,48.0,BC,Full-time,49.0,528.0,22.113387430974992,7.0,10.0,On Time,35395.30526168924,3816.288258203188,195.67752462234046,39.93082795677652,1,0.0,0.0,1916.8782453000786
A00015,25274.2427686738,213.7180826090028,3927.609189247192,4922.02488048059,82.0,ON,Part-time,271.0,677.0,54.5483257983117,12.0,8.0,On Time,27210.62118877933,5227.207164242743,371.07345744499463,31.270819986466357,0,0.0,0.0,2106.1868973894834
A00016,45200.17490441385,767.0512863887784,43.73982283009337,30000.0,32.0,BC,Unemployed,234.0,610.0,25.591981850119573,20.0,3.0,On Time,74657.14064268132,1000.9253755002924,477.6560470773311,44.992055992259964,0,0.0,0.0,3766.6812420344872
A00017,36083.26414852113,323.2631422853334,2738.71819705371,1465.8039184871757,41.0,BC,Full-time,583.0,655.0,37.09341994427752,14.0,1.0,On Time,66667.43494764941,5273.1652120796825,618.2307902802409,32.04192350372061,0,1465.8039184871757,7.907445688747227,3006.9386790434273
A00018,70061.1468597906,1248.5249152710664,5976.2899319556,30000.0,66.0,BC,Unemployed,555.0,764.0,18.285530127477436,8.0,6.0,On Time,85239.57463724415,9023.533335845364,389.6627025206724,35.766259241585814,0,0.0,0.0,5838.42890498255
A00019,38024.57583774577,514.9161311361406,7992.65965959968,26247.51284151627,53.2,ON,Full-time,305.0,712.0,36.36995937491068,0.0,3.4,Late<30,19268.998607280628,8776.489543389049,175.20317413550174,34.2041526780741,0,0.0,0.0,3168.7146531454805
A00020,29550.26968924983,400.1599020419248,1333.8861709325956,30000.0,25.0,ON,Full-time,476.0,663.0,59.75629069134071,14.0,10.0,On Time,53822.18270612278,5779.401227001188,804.0534988573809,67.17556563625257,0,0.0,0.0,2462.5224741041525
A00021,124595.07828821737,2160.7957008849503,1105.4136441673534,3841.881051162713,60.0,ON,Part-time,487.0,742.0,9.864817249422448,2.0,9.0,On Time,93217.42598908508,8567.396667377307,229.8932179609717,23.580229667979367,1,3841.881051162713,4.8558576797653785,10382.92319068478
A00022,53482.61087929391,854.1215790328979,9220.926535723316,29592.947894429748,28.0,ON,Part-time,79.0,602.0,34.93314867264247,14.0,1.0,Late<30,36875.632180140376,3642.4038245743327,322.0454853366307,36.349637898770354,1,0.0,0.0,4456.88423994116
