applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate
A00001,76753.71563849953,854.8273395356146,3126.5631435521946,10995.521089363885,64,ON,Full-time,597,685,35.64675103968641,4,9,Late<30,56329.75702517625,4323.280055984888,602.3918474407453,25.361409383075905,0,0.0,0.0
A00002,55874.74954079217,642.4988500258357,1782.3309891158347,11147.927479370821,79,ON,Full-time,324,682,65.557813958656,2,2,On Time,91093.94632312929,118.01388137937519,1791.5759957434516,55.866962003523334,0,0.0,0.0
A00003,82771.92965364884,1325.333337737395,8591.821994111084,16747.36279041602,59,ON,Unemployed,245,548,27.14403894458487,16,7,On Time,115827.79837508648,1327.0935942746432,943.2102809876615,36.53055915634633,0,0.0,0.0
A00004,128221.55283858265,1680.3004147616616,4035.227665072294,12121.554552361305,36,ON,Full-time,314,758,25.930731789408885,18,1,On Time,80611.62962985465,3281.8011428708946,627.0955641116781,23.296108107120705,1,12121.554552361305,3.5651032761216577
A00005,53259.06546938102,663.486330890581,3985.437143653825,1041.346120338446,34,ON,Full-time,161,724,48.21351105247049,3,7,On Time,56832.49246139879,9368.443180041699,822.0282010281288,33.82263005542518,1,1041.346120338446,4.829503467821233
A00006,53259.50266882978,1016.5797897755415,1698.8667480662,22221.388727522633,69,ON,Full-time,368,681,33.172816462045844,9,9,Late<30,98814.56098268117,8832.890326873796,983.3871885768357,52.571752097056915,0,0.0,0.0
A00007,131874.55486212557,2529.731442659656,3830.656760857787,22799.79420287602,55,ON,Full-time,184,453,30.47960196414848,4,5,On Time,155422.3262675821,5238.422662278664,1421.1631922933764,39.06341039771662,0,0.0,0.0
A00008,87879.10697482404,1939.9562877821409,8716.168463288503,22662.263535916343,32,ON,Full-time,275,730,37.108042113802256,18,3,On Time,86771.06119255825,6044.093733093136,965.9712578978292,44.322637456686074,0,0.0,0.0
A00009,47347.19262683412,724.1820715960899,3631.287104896359,11005.599331703532,86,BC,Unemployed,528,717,38.82477048961034,8,3,Late<30,69395.64925894645,2882.80741648125,808.281046636828,43.023808104213956,0,0.0,0.0
A00010,78533.45739265763,750.1058929744916,9516.035624997881,16146.394726023986,48,ON,Full-time,435,670,17.592080883473074,20,6,On Time,63176.912558434924,6698.574831975295,333.4240067088279,20.257238602577445,1,15000.0,5.366027465039598
A00011,47490.793661914875,612.367177491076,9463.088992083874,11439.232027123415,78,ON,Full-time,259,776,70.10985318356737,15,6,On Time,61059.15548645793,2371.2510534862076,1284.2545280004533,52.25964932795747,0,0.0,0.0
A00012,47435.92458299541,1170.0904589104232,1448.9865930734602,1465.0556008887274,71,ON,Full-time,244,792,46.66735028012542,11,8,On Time,71357.10855846448,25.098097271585296,999.014154022439,55.42838174757468,0,0.0,0.0
A00013,67574.17320049589,1234.6461139217245,1773.1125352264487,17311.019296871145,54,BC,Part-time,337,713,56.127420060072645,16,3,On Time,120438.63981994615,9632.358462465128,2027.9730385913729,62.54965662426157,0,0.0,0.0
A00014,23002.538943600946,463.78374007756247,8626.740703318892,4589.05931643632,48,BC,Full-time,49,528,22.113387430974992,7,10,On Time,35395.30526168924,3816.2882582031875,234.81302954680854,40.03554535884347,1,3162.8491047451303,7.45722704320707
A00015,25274.2427686738,213.7180826090028,3927.6091892471923,3321.1983986517776,82,ON,Part-time,271,553,54.5483257983117,12,8,On Time,27210.62118877933,5227.207164242743,445.2881489339935,33.654383112976646,0,0.0,0.0
A00016,45200.17490441385,767.0512863887784,43.73982283009337,22909.47299220683,32,BC,Unemployed,234,610,25.591981850119573,20,3,On Time,74657.14064268132,1000.9253755002923,573.1872564927972,44.70462270534918,1,5650.021863051731,6.93498757565443
A00017,36083.26414852113,323.2631422853334,2738.71819705371,1275.6798701250632,41,BC,Full-time,583,655,37.093419944277514,14,1,On Time,66667.43494764941,5273.1652120796825,741.8769483362887,36.05910876168681,0,0.0,0.0
A00018,70061.1468597906,1248.5249152710664,5976.2899319556,28811.244864653057,66,BC,Unemployed,555,764,18.285530127477433,8,6,On Time,85239.57463724415,9023.533335845363,467.5952430248068,36.79566654365367,1,25000.0,6.5192676512580165
A00019,38024.57583774577,900.4034820007571,7992.65965959968,15942.40555926473,46,ON,Full-time,305,712,36.36995937491068,0,8,Late<30,19268.998607280628,8776.489543389049,210.24380896260206,42.59718914773357,1,10456.758355380087,4.404301625315661
A00020,29550.26968924983,723.2030220523465,1333.8861709325956,29507.476490478304,25,ON,Full-time,476,663,59.75629069134071,14,10,On Time,53822.18270612278,5779.401227001188,964.864198628857,86.5242608116096,0,0.0,0.0
A00021,124595.07828821737,2160.7957008849503,1105.4136441673534,2681.9296017085444,60,ON,Part-time,487,742,9.864817249422448,2,9,On Time,93217.42598908507,8567.396667377307,275.871861553166,23.855483287075987,1,2681.9296017085444,5.91298839803859
A00022,53482.61087929391,854.1215790328979,9220.926535723316,17922.356917111483,28,ON,Part-time,79,602,34.93314867264247,14,1,Late<30,36875.632180140376,3642.4038245743327,386.45458240395675,33.86696700952355,1,10000.0,8.060757532843375
A00023,61930.25443446889,1491.5046051494355,7511.483678225826,11130.484043301425,86,ON,Part-time,285,742,31.880782475685727,10,10,On Time,59547.04500770337,1925.2769504813084,569.5219166881376,43.17083085478917,1,11130.484043301425,6.861386275044606
A00024,29366.971601059646,574.4227767828554,5897.796007780785,25460.992291614286,62,ON,Full-time,560,702,16.7127880917148,8,5,On Time,31421.943590161965,4216.30869521146,157.54448539565792,45.515710438969556,1,8075.917190291403,4.3370181870589235
A00025,45606.64176956222,429.3859846298672,7691.86789995928,11475.459321794302,31,BC,Unemployed,97,732,15.294584931680404,18,5,On Time,77488.65095448226,8096.322536604532,355.5470259794,25.182250566186386,1,11475.459321794302,4.464049019412965
A00026,63288.650487134284,1018.6578091914018,4288.543613066385,8554.139792663123,51,ON,Part-time,477,764,11.326803548804055,17,10,On Time,68590.66209730401,7068.613462394095,233.07388645756885,26.166659239848283,1,8554.139792663123,4.985139819419429
A00027,33674.73767311809,415.4592801769649,7584.557473091266,25869.040685897486,50,ON,Full-time,405,675,34.027480199324344,20,9,On Time,19303.42879136822,3846.4126305096047,197.05411229320487,35.65458519573922,1,13890.829290161213,7.056543364093216
