applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate
,76753.71563849953,854.8273395356146,3126.5631435521946,17888.98390961484,64.0,ON,Full-time,597.0,685.0,35.64675103968642,4.0,9.0,Late<30,56329.75702517625,4323.280055984888,602.3918474407454,31.17329793370432,0.0,0.0,0.0
A00002,55874.74954079217,642.4988500258357,1782.3309891158347,18146.498154798974,79.0,ON,Full-time,324.0,682.0,65.557813958656,2.0,2.0,On Time,91093.94632312929,118.01388137937519,1791.5759957434516,63.96742317183074,0.0,0.0,0.0
A00003,82771.92965364884,1325.333337737395,8591.821994111084,27607.612990702935,59.0,ON,Unemployed,245.0,548.0,27.144038944584842,16.0,7.0,On Time,115827.79837508648,1327.0935942746432,943.2102809876604,44.89597410239371,0.0,0.0,
A00004,128221.55283858265,1680.3004147616616,4035.227665072294,19791.59217467945,36.0,ON,,-4.0,758.0,25.930731789408885,18.0,1.0,On Time,80611.62962985465,3281.8011428708946,627.0955641116781,27.151227043078684,1.0,19791.59217467945,5.194235653858218
A00005,53259.06546938102,663.486330890581,3985.437143653825,1069.8606860890986,34.0,,Full-time,161.0,724.0,48.21351105247049,3.0,7.0,On Time,56832.49246139879,9368.443180041699,822.0282010281288,34.19384863312407,1.0,1069.8606860890986,9.434654790096438
A00006,53259.50266882978,1016.5797897755415,1698.8667480662,36856.82922926238,69.0,ON,Full-time,,681.0,33.172816462045844,9.0,9.0,Late<30,98814.56098268117,8832.890326873796,983.3871885768357,69.97448416763791,0.0,0.0,0.0
A00007,,2529.731442659656,3830.656760857787,37834.13503244569,55.0,ON,Full-time,184.0,453.0,30.47960196414848,4.0,5.0,On Time,155422.3262675821,5238.422662278664,1421.1631922933764,46.279605868565454,0.0,0.0,0.0
A00008,11657.650147367109,1939.9562877821409,8716.168463288503,37601.75562965175,32.0,ON,Full-time,,730.0,37.108042113802256,18.0,3.0,On Time,86771.06119255825,6044.093733093136,965.9712578978292,55.08449532686116,0.0,0.0,
A00009,47347.19262683412,724.1820715960899,3631.287104896359,17906.012663912865,86.0,BC,Unemployed,528.0,717.0,38.82477048961036,8.0,3.0,Late<30,69395.64925894645,2882.80741648125,808.2810466368285,52.45447639006997,0.0,0.0,0.0
A00010,78533.45739265763,750.1058929744916,,26592.184192247423,48.0,ON,Full-time,435.0,670.0,17.592080883473074,20.0,6.0,On Time,63176.912558434924,6698.574831975295,333.4240067088279,28.746404214109607,1.0,15000.0,8.132443045706633
A00011,47490.793661914875,612.367177491076,9463.088992083874,18638.702390656803,78.0,ON,Full-time,259.0,776.0,70.10985318356738,15.0,6.0,On Time,61059.15548645793,2371.2510534862076,1284.2545280004535,62.052854994014794,0.0,0.0,0.0
A00012,47435.92458299541,1170.0904589104232,1448.9865930734602,1785.7836015016428,71.0,ON,Full-time,244.0,792.0,,11.0,8.0,On Time,71357.10855846448,25.098097271585296,999.014154022439,56.22771704400643,0.0,0.0,0.0
A00013,,1234.6461139217245,1773.1125352264487,28559.99812229952,54.0,BC,Part-time,337.0,713.0,56.127420060072645,16.0,3.0,On Time,120438.63981994615,9632.358462465128,2027.9730385913729,73.15373139307937,0.0,0.0,0.0
A00014,23002.538943600946,463.78374007756247,8626.740703318892,7064.272638116541,48.0,BC,Full-time,49.0,528.0,22.113387430974992,7.0,10.0,On Time,35395.30526168924,3816.2882582031875,234.81302954680854,47.5004059856357,0.0,0.0,0.0
A00015,25274.2427686738,213.7180826090028,3927.6091892471923,4922.02488048059,82.0,,Part-time,271.0,265.0,54.5483257983117,12.0,8.0,On Time,27210.62118877933,5227.207164242743,445.2881489339935,38.29987637646206,0.0,0.0,0.0
